iter	Passed	Remaining
0	56	56638
1	57	28444
2	57	19028
3	57	14315
4	57	11485
5	57	9600
6	58	8251
7	58	7240
8	58	6454
9	58	5826
10	59	5316
11	59	4888
12	59	4523
13	59	4212
14	60	3944
15	60	3713
16	60	3504
17	60	3317
18	61	3150
19	61	3000
20	61	2868
21	61	2749
22	62	2638
23	62	2537
24	62	2442
25	62	2353
26	63	2271
27	63	2195
28	63	2124
29	63	2060
30	63	1998
31	64	1941
32	64	1887
33	64	1835
34	64	1787
35	65	1742
36	65	1701
37	65	1660
38	65	1622
39	66	1586
40	66	1551
41	66	1517
42	66	1486
43	67	1457
44	67	1429
45	67	1400
46	67	1374
47	67	1348
48	68	1324
49	68	1301
50	68	1278
51	68	1256
52	69	1235
53	69	1214
54	69	1195
55	69	1175
56	70	1158
57	70	1140
58	70	1123
59	70	1106
60	70	1090
61	71	1075
62	71	1059
63	71	1045
64	71	1030
65	71	1016
66	72	1003
67	72	989
68	72	977
69	72	964
70	72	953
71	73	941
72	73	930
73	73	919
74	73	908
75	73	898
76	74	887
77	74	877
78	74	867
79	74	858
80	74	849
81	75	840
82	75	830
83	75	822
84	75	813
85	75	806
86	76	797
87	76	789
88	76	782
89	76	774
90	76	767
91	77	760
92	77	753
93	77	746
94	77	739
95	77	733
96	78	726
97	78	720
98	78	714
99	78	708
100	78	702
101	79	696
102	79	690
103	79	684
104	79	679
105	79	673
106	80	668
107	80	663
108	80	658
109	80	653
110	80	648
111	81	643
112	81	638
113	81	633
114	81	628
115	81	624
116	82	619
117	82	614
118	82	610
119	82	606
120	82	602
121	83	597
122	83	593
123	84	593
124	84	589
125	84	585
126	84	581
127	84	577
128	84	573
129	85	570
130	85	566
131	85	563
132	85	559
133	86	556
134	86	552
135	86	549
136	86	546
137	86	542
138	87	539
139	87	536
140	87	533
141	87	529
142	87	526
143	88	523
144	88	520
145	88	517
146	88	515
147	88	512
148	89	509
149	89	506
150	89	504
151	89	501
152	90	498
153	90	496
154	90	493
155	90	490
156	90	488
157	91	485
158	91	483
159	91	480
160	91	477
161	91	474
162	91	472
163	92	469
164	92	467
165	92	465
166	92	462
167	92	460
168	93	458
169	93	455
170	93	453
171	93	451
172	93	449
173	94	447
174	94	445
175	94	443
176	94	440
177	95	439
178	95	437
179	95	435
180	95	434
181	96	432
182	96	431
183	96	429
184	97	427
185	97	426
186	97	424
187	97	423
188	98	421
189	98	419
190	98	417
191	98	415
192	99	414
193	99	412
194	99	411
195	99	409
196	99	407
197	100	405
198	100	404
199	100	403
200	101	402
201	101	401
202	101	399
203	102	398
204	102	396
205	102	395
206	102	394
207	103	393
208	103	391
209	103	390
210	104	389
211	104	388
212	104	387
213	105	385
214	105	384
215	105	382
216	105	381
217	105	380
218	106	378
219	106	377
220	106	375
221	106	374
222	107	373
223	107	371
224	107	370
225	107	368
226	107	367
227	108	366
228	108	364
229	108	363
230	108	362
231	108	360
232	109	359
233	109	358
234	109	356
235	109	355
236	109	354
237	110	352
238	110	351
239	110	350
240	110	348
241	110	347
242	111	346
243	111	345
244	111	343
245	111	342
246	111	341
247	112	340
248	112	339
249	112	337
250	112	336
251	113	335
252	113	334
253	113	333
254	113	331
255	113	330
256	114	329
257	114	328
258	114	327
259	114	326
260	114	325
261	114	323
262	115	322
263	115	321
264	115	320
265	115	319
266	116	318
267	116	317
268	116	316
269	116	315
270	116	314
271	117	313
272	117	312
273	117	311
274	117	310
275	118	309
276	118	308
277	118	307
278	118	307
279	119	306
280	119	305
281	119	304
282	119	303
283	119	302
284	120	301
285	120	300
286	120	299
287	120	298
288	120	297
289	121	296
290	121	295
291	121	294
292	121	293
293	122	292
294	122	292
295	122	291
296	122	290
297	122	289
298	123	288
299	123	287
300	123	286
301	123	285
302	123	284
303	124	284
304	124	283
305	124	282
306	124	281
307	124	280
308	124	279
309	125	278
310	125	277
311	125	276
312	125	276
313	126	275
314	126	274
315	126	273
316	126	272
317	126	272
318	127	271
319	127	270
320	127	269
321	127	268
322	127	268
323	128	267
324	128	266
325	128	265
326	128	264
327	128	264
328	129	263
329	129	262
330	129	261
331	129	260
332	129	260
333	130	259
334	130	258
335	130	257
336	130	257
337	130	256
338	131	255
339	131	254
340	131	254
341	131	253
342	132	252
343	132	252
344	132	251
345	132	250
346	132	250
347	133	249
348	133	248
349	133	248
350	133	247
351	133	246
352	134	245
353	134	245
354	134	244
355	134	243
356	134	243
357	135	242
358	135	241
359	135	241
360	135	240
361	136	239
362	136	239
363	136	238
364	136	237
365	136	237
366	137	236
367	137	235
368	137	235
369	137	234
370	137	233
371	138	233
372	138	232
373	138	231
374	138	231
375	138	230
376	139	229
377	139	229
378	139	228
379	139	228
380	139	227
381	140	226
382	140	226
383	140	225
384	140	224
385	140	224
386	141	223
387	141	223
388	141	222
389	141	221
390	142	221
391	142	220
392	142	220
393	142	219
394	142	219
395	143	218
396	143	217
397	143	217
398	143	216
399	144	216
400	144	215
401	144	214
402	144	214
403	144	213
404	145	213
405	145	212
406	145	211
407	145	211
408	145	210
409	146	210
410	146	209
411	146	209
412	146	208
413	146	208
414	147	207
415	147	206
416	147	206
417	147	205
418	148	205
419	148	204
420	148	204
421	148	203
422	148	202
423	149	202
424	149	201
425	149	201
426	149	200
427	149	200
428	149	199
429	150	199
430	150	198
431	150	198
432	150	197
433	151	196
434	151	196
435	151	195
436	151	195
437	151	194
438	152	194
439	152	193
440	152	193
441	152	192
442	152	192
443	153	191
444	153	191
445	153	190
446	153	190
447	153	189
448	154	189
449	154	188
450	154	188
451	154	187
452	155	187
453	155	186
454	155	186
455	155	185
456	155	185
457	156	184
458	156	184
459	156	183
460	156	183
461	156	182
462	157	182
463	157	181
464	157	181
465	157	180
466	157	180
467	158	179
468	158	179
469	158	178
470	158	178
471	158	177
472	158	177
473	159	176
474	159	176
475	159	175
476	159	175
477	159	174
478	160	174
479	160	173
480	160	173
481	160	172
482	160	172
483	161	171
484	161	171
485	161	170
486	161	170
487	161	169
488	162	169
489	162	169
490	162	168
491	162	168
492	163	167
493	163	167
494	163	166
495	163	166
496	164	166
497	164	165
498	164	165
499	164	164
500	164	164
501	165	163
502	165	163
503	165	162
504	165	162
505	166	162
506	166	161
507	166	161
508	166	160
509	166	160
510	167	159
511	167	159
512	167	158
513	167	158
514	167	158
515	168	157
516	168	157
517	168	156
518	168	156
519	168	155
520	169	155
521	169	154
522	169	154
523	169	154
524	169	153
525	170	153
526	170	152
527	170	152
528	170	152
529	171	151
530	171	151
531	171	150
532	171	150
533	171	150
534	172	149
535	172	149
536	172	148
537	172	148
538	172	147
539	173	147
540	173	147
541	173	146
542	173	146
543	173	145
544	174	145
545	174	145
546	174	144
547	174	144
548	175	143
549	175	143
550	175	142
551	175	142
552	175	142
553	175	141
554	176	141
555	176	140
556	176	140
557	176	140
558	176	139
559	177	139
560	177	138
561	177	138
562	177	138
563	178	137
564	178	137
565	178	136
566	178	136
567	178	136
568	179	135
569	179	135
570	179	134
571	179	134
572	180	134
573	180	133
574	180	133
575	180	133
576	180	132
577	181	132
578	181	131
579	181	131
580	181	131
581	181	130
582	182	130
583	182	129
584	182	129
585	182	129
586	183	128
587	183	128
588	183	128
589	183	127
590	183	127
591	184	126
592	184	126
593	184	126
594	184	125
595	184	125
596	185	124
597	185	124
598	185	124
599	185	123
600	186	123
601	186	123
602	186	122
603	186	122
604	186	121
605	187	121
606	187	121
607	187	120
608	187	120
609	187	120
610	188	119
611	188	119
612	188	118
613	188	118
614	188	118
615	189	117
616	189	117
617	190	117
618	190	117
619	190	116
620	190	116
621	191	116
622	191	115
623	191	115
624	191	115
625	191	114
626	192	114
627	192	113
628	192	113
629	192	113
630	193	112
631	193	112
632	193	112
633	193	111
634	193	111
635	194	111
636	194	110
637	194	110
638	194	110
639	194	109
640	195	109
641	195	108
642	195	108
643	195	108
644	196	107
645	196	107
646	196	107
647	196	106
648	197	106
649	197	106
650	197	105
651	197	105
652	197	105
653	198	104
654	198	104
655	198	104
656	198	103
657	198	103
658	199	103
659	199	102
660	199	102
661	199	101
662	199	101
663	200	101
664	200	100
665	200	100
666	200	100
667	201	99
668	201	99
669	201	99
670	201	98
671	201	98
672	202	98
673	202	97
674	202	97
675	202	97
676	202	96
677	203	96
678	203	96
679	203	95
680	203	95
681	203	95
682	204	94
683	204	94
684	204	94
685	204	93
686	204	93
687	204	92
688	205	92
689	205	92
690	205	91
691	205	91
692	206	91
693	206	90
694	206	90
695	206	90
696	206	89
697	207	89
698	207	89
699	207	88
700	207	88
701	207	88
702	208	87
703	208	87
704	208	87
705	208	86
706	209	86
707	209	86
708	209	85
709	209	85
710	209	85
711	210	84
712	210	84
713	210	84
714	210	83
715	210	83
716	211	83
717	211	83
718	211	82
